challenge,tgen,tsplit,tsign,tver,resWithNonces
0,10.345,27.987,19.396,26.858,SUCCESS
2,14.131,41.143,28.746,36.142,SUCCESS
1,19.036,41.139,26.354,38.367,SUCCESS
0,14.408,35.528,24.267,25.912,SUCCESS
2,17.487,39.318,26.478,41.323,SUCCESS
0,12.316,31.212,23.227,26.302,SUCCESS
2,13.099,26.594,21.72,23.208,SUCCESS
0,13.206,32.376,19.767,22.914,SUCCESS
0,16.776,61.01,32.67,37.401,SUCCESS
2,10.865,26.516,20.311,26.081,SUCCESS
0,14.405,28.174,39.874,29.796,SUCCESS
2,26.474,53.653,34.224,36.719,SUCCESS
0,14.785,42.304,25.624,28.409,SUCCESS
2,12.067,31.477,21.651,26.488,SUCCESS
2,16.257,42.854,40.017,38.977,SUCCESS
0,14.216,28.16,20.244,29.289,SUCCESS
1,11.359,28.937,21.703,24.2,SUCCESS
2,16.743,42.551,28.299,38.134,SUCCESS
0,14.799,35.537,28.604,42.329,SUCCESS
0,11.667,31.344,20.905,24.479,SUCCESS
2,22.926,54.815,33.328,39.36,SUCCESS
2,11.078,26.129,26.705,25.647,SUCCESS
2,14.556,28.471,19.678,36.739,SUCCESS
0,13.173,27.695,23.977,26.274,SUCCESS
2,16.651,42.301,29.654,34.823,SUCCESS
1,15.335,31.131,22.946,26.655,SUCCESS
2,12.297,37.657,24.241,31.967,SUCCESS
0,14.315,40.376,25.436,35.316,SUCCESS
2,17.374,50.246,32.871,40.99,SUCCESS
0,10.284,27.109,20.427,26.486,SUCCESS
2,15.778,42.887,27.054,34.761,SUCCESS
1,12.905,33.407,22.368,31.16,SUCCESS
2,11.52,30.248,21.198,25.226,SUCCESS
0,12.065,35.185,21.937,25.097,SUCCESS
0,18.953,46.574,31.894,43.388,SUCCESS
0,11.903,30.633,19.849,23.136,SUCCESS
1,10.746,27.921,19.834,25.541,SUCCESS
1,15.055,47.543,26.418,36.952,SUCCESS
1,14.896,28.645,18.082,24.293,SUCCESS
0,11.088,30.358,21.485,23.569,SUCCESS
2,15.257,54.663,30.392,48.145,SUCCESS
0,12.19,30.417,26.724,28.621,SUCCESS
1,12.628,31.89,19.566,24.551,SUCCESS
1,19.565,43.085,26.694,38.457,SUCCESS
0,11.045,30.526,25.7,29.694,SUCCESS
1,16.942,36.257,26.15,31.207,SUCCESS
1,13.379,46.131,32.665,38.322,SUCCESS
1,17.67,35.567,28.146,27.994,SUCCESS
1,14.112,31.496,19.604,24.65,SUCCESS
2,15.936,47.718,26.217,47.88,SUCCESS
1,17.29,37.728,26.336,33.323,SUCCESS
0,13.3,29.651,19.626,22.957,SUCCESS
2,13.289,31.335,22.661,30.184,SUCCESS
2,19.14,37.525,27.492,33.49,SUCCESS
1,9.617,28.202,18.822,27.97,SUCCESS
1,13.142,33.616,18.898,32.833,SUCCESS
1,13.743,33.316,27.68,31.915,SUCCESS
0,17.444,33.118,24.496,28.792,SUCCESS
1,12.789,43.297,20.397,28.009,SUCCESS
1,15.85,38.919,25.755,33.735,SUCCESS
2,11.569,26.34,19.759,24.951,SUCCESS
0,10.374,25.227,19.624,22.465,SUCCESS
0,30.131,43.423,27.417,27.771,SUCCESS
2,18.8,30.164,18.75,23.46,SUCCESS
2,11.955,28.536,18.589,23.549,SUCCESS
1,18.032,54.594,28.224,37.919,SUCCESS
0,15.427,34.234,24.8,21.774,SUCCESS
1,14.589,30.668,18.188,23.724,SUCCESS
0,10.466,29.962,21.372,43.457,SUCCESS
0,18.282,45.02,31.983,30.659,SUCCESS
2,10.886,30.624,19.178,24.777,SUCCESS
1,14.063,32.093,28.387,37.168,SUCCESS
1,16.183,41.72,25.806,35.14,SUCCESS
1,14.706,34.207,25.949,24.138,SUCCESS
1,11.312,28.359,19.91,27.902,SUCCESS
2,23.116,56.949,36.825,50.702,SUCCESS
1,11.38,25.997,18.469,23.929,SUCCESS
0,14.378,32.569,21.309,26.137,SUCCESS
2,28.02,48.038,31.502,27.375,SUCCESS
1,16.422,41.698,21.562,25.133,SUCCESS
2,11.426,31.474,20.351,25.818,SUCCESS
2,16.149,66.145,37.357,48.177,SUCCESS
2,16.737,38.627,21.972,26.235,SUCCESS
2,14.157,30.94,19.377,26.579,SUCCESS
1,15.74,58.201,36.741,39.279,SUCCESS
2,19.769,29.249,19.065,30.127,SUCCESS
2,11.63,29.414,20.469,24.438,SUCCESS
1,12.156,51.333,32.817,45.328,SUCCESS
1,20.942,49.761,30.491,27.421,SUCCESS
2,11.616,26.608,19.823,25.044,SUCCESS
2,12.118,43.983,29.902,40.421,SUCCESS
2,16.189,37.226,29.37,29.14,SUCCESS
1,12.405,36.481,24.702,30.723,SUCCESS
1,13.849,30.085,21.09,30.068,SUCCESS
2,18.648,42.513,27.424,32.961,SUCCESS
2,13.535,35.292,21.135,24.83,SUCCESS
0,10.756,26.006,20.665,22.878,SUCCESS
0,18.88,43.78,26.882,31.903,SUCCESS
1,15.886,47.878,27.445,31.604,SUCCESS
1,16.011,32.445,20.007,27.281,SUCCESS
2,16.54,39.123,26.113,35.043,SUCCESS
1,11.253,39.407,21.437,26.839,SUCCESS
2,18.164,39.174,27.075,24.673,SUCCESS
1,11.349,32.779,21.653,26.615,SUCCESS
1,16.382,53.908,28.141,35.819,SUCCESS
1,11.908,28.602,18.64,23.262,SUCCESS
1,15.711,39.137,26.159,33.616,SUCCESS
1,13.083,36.468,22.2,26.307,SUCCESS
1,17.057,46.049,30.769,37.463,SUCCESS
1,19.299,53.189,34.496,33.648,SUCCESS
2,17.965,38.402,18.963,25.406,SUCCESS
0,14.133,49.688,35.373,35.647,SUCCESS
0,15.517,43.225,36.663,26.309,SUCCESS
2,12.447,31.207,19.634,25.41,SUCCESS
2,10.941,35.173,27.898,30.837,SUCCESS
0,32.859,40.22,33.529,32.39,SUCCESS
1,12.411,32.15,19.783,23.971,SUCCESS
2,15.959,46.693,31.055,41.956,SUCCESS
0,14.535,32.499,30.706,39.604,SUCCESS
1,13.957,30.472,18.585,24.109,SUCCESS
0,12.786,31.498,21.334,24.512,SUCCESS
1,16.896,51.292,26.81,34.055,SUCCESS
0,13.78,34.535,19.158,23.787,SUCCESS
1,14.323,31.574,19.434,25.016,SUCCESS
0,11.186,44.558,22.34,27.337,SUCCESS
2,15.821,36.232,25.789,33.574,SUCCESS
0,15.425,29.652,18.99,22.816,SUCCESS
0,13.014,33.598,22.2,32.454,SUCCESS
1,16.533,48.083,26.583,36.41,SUCCESS
0,20.962,51.51,27.695,27.188,SUCCESS
2,11.637,31.35,19.07,24.173,SUCCESS
2,15.408,42.279,31.966,38.541,SUCCESS
0,12.896,27.466,20.418,22.451,SUCCESS
0,18.892,39.551,23.815,23.621,SUCCESS
2,11.44,40.576,20.788,26.887,SUCCESS
1,25.068,42.866,25.131,30.396,SUCCESS
0,15.787,39.53,25.553,29.085,SUCCESS
0,13.535,30.814,20.742,23.632,SUCCESS
0,16.408,41.745,26.856,34.468,SUCCESS
0,20.127,42.632,22.925,32.732,SUCCESS
0,10.752,28.917,20.317,23.488,SUCCESS
1,11.837,34.366,25.599,37.08,SUCCESS
2,16.78,60.481,30.287,61.65,SUCCESS
2,13.187,30.592,21.884,25.434,SUCCESS
1,12.15,43.416,30.51,31.873,SUCCESS
1,15.595,47.483,32.489,40.42,SUCCESS
1,12.309,28.808,21.837,24.439,SUCCESS
2,14.636,41.01,28.92,35.598,SUCCESS
0,16.235,31.815,21.198,26.332,SUCCESS
0,17.308,38.538,25.018,29.244,SUCCESS
0,11.595,30.33,20.085,24.112,SUCCESS
2,15.223,51.338,32.894,51.614,SUCCESS
2,14.388,30.653,21.116,26.093,SUCCESS
1,15.305,40.011,25.655,30.701,SUCCESS
2,11.977,40.093,20.695,27.826,SUCCESS
2,17.301,39.436,27.704,32.341,SUCCESS
2,18.207,60.715,29.972,28.257,SUCCESS
2,11.627,31.252,20.935,24.452,SUCCESS
0,11.475,30.999,19.762,32.384,SUCCESS
2,17.607,60.591,29.689,33.108,SUCCESS
1,10.341,24.951,19.605,23.545,SUCCESS
1,11.596,37.975,27.104,33.99,SUCCESS
2,28.869,40.226,32.524,38.156,SUCCESS
2,11.493,37.742,19.411,23.818,SUCCESS
2,11.035,27.301,18.656,26.141,SUCCESS
0,15.14,44.319,35.3,52.862,SUCCESS
0,14.347,35.512,23.429,30.129,SUCCESS
1,15.788,36.054,28.384,33.11,SUCCESS
2,19.111,42.012,21.815,29.118,SUCCESS
1,11.523,37.572,25.639,33.309,SUCCESS
1,13.202,36.348,25.18,27.268,SUCCESS
0,12.988,33.873,27.445,31.366,SUCCESS
1,23.104,50.463,34.778,37.524,SUCCESS
0,12.084,34.815,19.318,23.814,SUCCESS
0,12.106,27.517,20.622,24.176,SUCCESS
1,15.441,48.512,32.135,40.857,SUCCESS
1,15.673,29.008,19.724,23.362,SUCCESS
2,11.745,31.728,23.122,30.449,SUCCESS
0,19.023,47.35,30.581,38.823,SUCCESS
0,11.417,30.417,21.823,23.121,SUCCESS
1,12.768,30.442,21.502,24.364,SUCCESS
1,19.882,57.773,31.434,42.984,SUCCESS
0,15.328,25.529,20.288,22.237,SUCCESS
1,11.205,28.296,19.491,24.462,SUCCESS
1,14.853,40.493,26.87,41.546,SUCCESS
2,10.937,26.448,19.195,24.003,SUCCESS
2,17.154,42.835,26.556,31.946,SUCCESS
1,13.182,39.631,19.95,24.091,SUCCESS
0,12.984,35.317,26.584,29.961,SUCCESS
0,16.236,35.825,26.659,36.515,SUCCESS
0,15.129,37.587,20.39,22.375,SUCCESS
2,12.238,28.14,20.265,24.953,SUCCESS
2,16.326,43.946,26.895,33.289,SUCCESS
2,19.446,41.757,21.81,28.214,SUCCESS
0,11.281,30.543,20.077,29,SUCCESS
0,15.235,39.149,30.422,31.211,SUCCESS
2,14.253,38.426,29.367,27.051,SUCCESS
0,13.535,40.388,26.75,32.282,SUCCESS
1,16.075,32.028,26.523,41.579,SUCCESS
2,11.644,31.719,21.827,25.24,SUCCESS
0,10.827,26.773,21.379,25.171,SUCCESS
1,26.726,61.353,50.388,47.731,SUCCESS
0,14.897,31.026,21.361,27.102,SUCCESS
1,11.506,32.268,19.113,25.454,SUCCESS
2,23.609,47.802,28.539,42.307,SUCCESS
1,15.918,28.668,19.346,26.622,SUCCESS
0,12.006,29.358,20.872,25.942,SUCCESS
1,14.304,61.813,29.176,43.624,SUCCESS
0,10.651,27.878,22.961,22.43,SUCCESS
0,11.781,30.062,20.15,23.403,SUCCESS
0,12.323,47.679,36.387,39.725,SUCCESS
2,14.238,35.018,30.013,27.873,SUCCESS
2,12.185,31.713,19.557,31.307,SUCCESS
2,11.453,31.328,26.475,35.122,SUCCESS
0,15.311,38.399,25.725,31.146,SUCCESS
2,14.387,28.644,19.672,24.841,SUCCESS
1,10.797,41.47,21.311,28.79,SUCCESS
1,18.257,38.711,27.937,34.854,SUCCESS
2,13.423,30.708,27.201,24.898,SUCCESS
1,14.308,33.506,19.872,25.418,SUCCESS
0,17.78,39.168,26.318,33.245,SUCCESS
2,12.305,45.221,28.629,40.995,SUCCESS
0,11.693,30.486,19.66,25.996,SUCCESS
0,14.66,38.613,26.628,32.26,SUCCESS
1,24.896,42.719,26.37,24.453,SUCCESS
0,17.973,32.014,18.973,23.99,SUCCESS
2,15.549,40.198,28.679,36.709,SUCCESS
2,17.358,40.33,26.067,39.312,SUCCESS
1,11.355,31.947,19.307,25.15,SUCCESS
2,11.6,28.944,23.779,30.821,SUCCESS
2,17.732,46.074,36.277,41.934,SUCCESS
0,12.313,34.743,19.483,23.312,SUCCESS
1,11.903,28.549,19.501,25.3,SUCCESS
2,20.856,44.745,30.365,38.287,SUCCESS
0,12.247,26.926,18.98,24.555,SUCCESS
0,10.91,29.644,22.678,23.452,SUCCESS
1,16.074,49.536,29.398,40.287,SUCCESS
2,13.028,33.896,23.719,30.905,SUCCESS
0,12.604,30.765,18.928,22.661,SUCCESS
0,14.973,51.188,29.552,36.234,SUCCESS
2,18.19,39.248,26.655,31.262,SUCCESS
1,11.842,28.995,18.975,24.622,SUCCESS
0,21.139,53.099,29.872,42.866,SUCCESS
0,14.056,25.322,19.202,22.145,SUCCESS
1,16.293,34.023,24.106,23.453,SUCCESS
0,12.125,34.345,25.535,25.036,SUCCESS
2,27.518,46.94,28.157,36.548,SUCCESS
2,16.909,45.486,24.345,25.548,SUCCESS
0,15.928,36.847,23.517,27.662,SUCCESS
1,12.772,38.017,25.424,33.97,SUCCESS
1,17.225,45.554,27.187,52.536,SUCCESS
2,10.33,29.295,20.701,27.792,SUCCESS
1,17.055,39.76,27.593,37.42,SUCCESS
2,17.906,51.858,32.113,31.704,SUCCESS
2,11.815,30.812,19.719,25.202,SUCCESS
1,18.117,46.439,28.135,36.718,SUCCESS
0,13.915,33.898,28.507,44.746,SUCCESS
0,16.621,46.521,28.06,34.779,SUCCESS
2,17.617,36.38,33.492,32.77,SUCCESS
2,23.015,54.369,22.528,34.86,SUCCESS
2,15.534,39.976,32.126,36.689,SUCCESS
2,24.89,57.32,41.533,37.701,SUCCESS
1,16.462,29.501,20.256,25.296,SUCCESS
0,18.313,43.564,36.451,36.818,SUCCESS
0,10.704,34.068,20.534,26.101,SUCCESS
1,12.445,36.599,22.456,30.335,SUCCESS
2,15.843,36.03,25.606,33.204,SUCCESS
0,18.902,36.08,26.624,25.175,SUCCESS
0,14.685,31.788,20.319,24.751,SUCCESS
1,13.111,30.022,23.194,31.408,SUCCESS
0,16.158,51.553,32.707,39.875,SUCCESS
2,13.302,43.387,20.43,24.475,SUCCESS
2,12.608,26.809,19.792,26.061,SUCCESS
2,19.213,44.192,33.106,41.146,SUCCESS
0,10.667,27.757,20.005,22.734,SUCCESS
1,10.671,30.219,25.374,35.847,SUCCESS
0,16.537,47.946,21.081,27.485,SUCCESS
0,13.66,33.985,23.628,32.468,SUCCESS
1,11.321,29.443,19.724,23.937,SUCCESS
0,11.99,31.695,21.292,31.681,SUCCESS
2,14.75,39.579,27.379,35.801,SUCCESS
2,12.737,27.014,19.45,26.169,SUCCESS
0,10.552,27.501,21.943,25.441,SUCCESS
0,16.141,46.928,35.975,33.497,SUCCESS
2,44.267,98.226,44.442,38.868,SUCCESS
1,21.843,53.864,30.923,44.71,SUCCESS
1,14.252,38.408,21.992,27.671,SUCCESS
1,12.323,31.501,23.523,29.264,SUCCESS
2,19.393,42.729,32.105,36.189,SUCCESS
2,12.186,31.007,20.534,24.863,SUCCESS
0,13.559,47.11,22.095,36.528,SUCCESS
0,18.075,44.464,21.644,25.086,SUCCESS
2,13.972,49.792,39.001,36.251,SUCCESS
0,10.551,29.811,20.179,25.039,SUCCESS
0,24.292,46.617,45.371,50.475,SUCCESS
2,16.193,40.008,27.548,28.303,SUCCESS
0,14.308,31.182,20.871,24.705,SUCCESS
1,17.186,45.477,34.766,42.762,SUCCESS
1,13.308,37.942,28.629,33.109,SUCCESS
2,13.316,32.802,20.67,34.244,SUCCESS
1,17.141,56.184,33.562,44.438,SUCCESS
0,17.371,30.999,20.081,24.867,SUCCESS
2,13.6,33.308,25.88,29.651,SUCCESS
0,17.377,44.506,31.881,36.471,SUCCESS
0,22.002,55.407,29.878,27.77,SUCCESS
1,12.312,33.12,20.715,25.704,SUCCESS
2,23.66,57.451,29.617,42.146,SUCCESS
2,12.507,28.93,22.858,26.128,SUCCESS
0,17.281,35.736,22.5,24.332,SUCCESS
1,11.796,36.868,21.332,31.221,SUCCESS
1,18.869,44.882,26.159,36.547,SUCCESS
0,15.769,29.199,21.252,26.618,SUCCESS
1,13.397,37.487,28.037,35.012,SUCCESS
2,17.749,39.593,27.88,32.526,SUCCESS
2,13.202,26.263,21.084,26.653,SUCCESS
1,12.757,27.988,22.573,27.497,SUCCESS
0,18.567,49.433,34.146,46.034,SUCCESS
0,15.052,44.764,25.963,25.367,SUCCESS
1,13.299,34.45,27.606,31.7,SUCCESS
0,22.667,33.159,23.792,37.068,SUCCESS
2,11.332,30.596,20.257,27.655,SUCCESS
1,15.187,46.418,31.791,40.849,SUCCESS
2,16.187,42.375,24.453,26.732,SUCCESS
0,15.532,54.072,36.181,35.108,SUCCESS
2,14.76,33.45,22.669,28.229,SUCCESS
0,21.641,58.697,32.206,51.003,SUCCESS
1,15.063,42.759,27.114,28.021,SUCCESS
1,17.798,34.766,23.432,30.148,SUCCESS
2,16.583,39.119,31.024,34.301,SUCCESS
1,20.045,51.746,30.149,33.774,SUCCESS
2,12.484,31.712,22.195,31.095,SUCCESS
1,23.524,59.042,37.915,37.616,SUCCESS
0,20.559,37.679,27.003,55.641,SUCCESS
0,20.361,55.359,32.573,31.433,SUCCESS
1,13.202,42.086,26.108,38.212,SUCCESS
0,13.686,36.338,22.865,30.751,SUCCESS
0,12.811,37.805,27.433,33.146,SUCCESS
0,22.902,46.022,21.363,31.811,SUCCESS
2,21.657,39.13,24.585,38.527,SUCCESS
0,11.254,35.978,21.4,25.12,SUCCESS
0,24.078,50.288,30.977,39.817,SUCCESS
1,14.478,35.23,24.607,26.692,SUCCESS
1,12.032,29.318,20.058,24.117,SUCCESS
1,14.642,47.156,26.176,32.677,SUCCESS
2,13.952,35.263,26.666,26.019,SUCCESS
0,11.763,26.899,20.095,23.988,SUCCESS
0,10.778,42.747,22.855,30.696,SUCCESS
2,14.33,42.717,26.604,35.22,SUCCESS
1,14.24,28.816,20.261,24.927,SUCCESS
2,10.358,27.171,27.789,38.389,SUCCESS
2,15.547,36.245,20.407,25.831,SUCCESS
2,18.231,38.043,20.533,27.779,SUCCESS
1,10.985,30.05,19.943,23.881,SUCCESS
0,18.663,46,29.834,47.193,SUCCESS
2,14.174,32.838,19.091,27.583,SUCCESS
2,15.744,41.636,23.255,25.369,SUCCESS
0,12.894,31.233,21.18,24.721,SUCCESS
1,14.821,53.733,26.761,34.083,SUCCESS
1,14.796,35.292,27.505,26.968,SUCCESS
1,10.932,28.953,19.759,24.205,SUCCESS
0,12.205,30.444,26.979,35.989,SUCCESS
0,17.274,36.571,25.383,30.473,SUCCESS
1,10.991,28.285,20.528,24.022,SUCCESS
1,18.357,31.523,25.906,27.618,SUCCESS
2,20.616,39.405,25.904,33.052,SUCCESS
2,14.235,33.149,18.853,32.31,SUCCESS
2,14.365,34.539,20.207,27.576,SUCCESS
2,12.646,32.044,19.79,24.76,SUCCESS
2,17.392,45.027,29.818,32.796,SUCCESS
0,13.365,38.773,20.976,27.81,SUCCESS
0,12.89,35.036,21.009,24.029,SUCCESS
2,15.343,42.453,32.535,29.045,SUCCESS
1,17.16,42.366,32.045,39.409,SUCCESS
2,11.713,29.614,19.054,24.673,SUCCESS
1,19.407,46.172,28.667,42.115,SUCCESS
1,22.847,48.044,30.597,30.416,SUCCESS
1,10.453,26.668,19.397,26.619,SUCCESS
2,15.87,41.919,25.554,33.882,SUCCESS
2,28.772,50.666,32.396,29.143,SUCCESS
1,13.076,28.43,19.061,23.689,SUCCESS
2,11.5,39.014,27.604,34.95,SUCCESS
0,15.261,59.781,35.415,31.86,SUCCESS
2,15.365,33.174,19.061,25.534,SUCCESS
2,10.736,28.479,20.975,27.09,SUCCESS
2,15.462,41.739,30.997,41.144,SUCCESS
1,13.306,29.125,19.134,25.067,SUCCESS
2,10.118,29.19,21.136,24.692,SUCCESS
0,15.89,54.31,29.101,41.565,SUCCESS
0,11.699,27.889,19.873,25.006,SUCCESS
1,11.382,31.554,20.994,25.024,SUCCESS
1,14.617,45.22,25.979,31.386,SUCCESS
2,14.903,53.184,26.349,27.667,SUCCESS
2,17.711,33.395,21.471,28.668,SUCCESS
0,17.437,50.693,30.539,38.892,SUCCESS
0,12.242,27.156,19.907,23.078,SUCCESS
0,18.964,42.527,26.64,26.346,SUCCESS
1,11.591,30.972,20.036,25.896,SUCCESS
2,14.458,39.844,26.188,34.229,SUCCESS
2,18.519,53.224,27.624,31.905,SUCCESS
0,15.961,31.312,20.125,23.547,SUCCESS
1,11.523,32.616,22.366,33.9,SUCCESS
2,15.647,50.846,28.444,41.857,SUCCESS
0,10.759,27.535,19.528,21.101,SUCCESS
2,10.88,30.54,21.05,31.221,SUCCESS
2,15.648,53.007,27.662,38.152,SUCCESS
