No,Latitude,Longitude,Speed,Date,Time
1,53.897779,-1.991528,0.00,2013/12/09,18:14:36
2,53.897855,-1.991497,2.90,2013/12/09,18:14:39
3,53.897931,-1.991466,2.90,2013/12/09,18:14:42
4,53.897987,-1.991442,2.14,2013/12/09,18:14:45
5,53.898043,-1.991417,2.15,2013/12/09,18:14:48
6,53.898121,-1.991402,2.91,2013/12/09,18:14:51
7,53.898173,-1.991392,2.91,2013/12/09,18:14:53
8,53.898247,-1.991387,2.75,2013/12/09,18:14:56
9,53.898297,-1.991383,2.79,2013/12/09,18:14:58
10,53.898389,-1.991397,3.43,2013/12/09,18:15:01
11,53.898451,-1.991407,3.47,2013/12/09,18:15:03
12,53.898583,-1.991424,4.91,2013/12/09,18:15:06
13,53.898715,-1.991442,4.91,2013/12/09,18:15:09
14,53.898768,-1.991446,1.97,2013/12/09,18:15:12
15,53.898822,-1.991451,2.01,2013/12/09,18:15:15
16,53.898875,-1.991455,1.97,2013/12/09,18:15:18
17,53.898893,-1.991457,2.01,2013/12/09,18:15:19
18,53.899015,-1.991468,4.53,2013/12/09,18:15:22
19,53.899137,-1.991479,4.53,2013/12/09,18:15:25
20,53.899178,-1.991483,4.57,2013/12/09,18:15:26
21,53.899237,-1.991491,2.20,2013/12/09,18:15:29
22,53.899297,-1.991500,2.24,2013/12/09,18:15:32
23,53.899356,-1.991508,2.20,2013/12/09,18:15:35
24,53.899396,-1.991514,2.24,2013/12/09,18:15:37
25,53.899462,-1.991520,2.45,2013/12/09,18:15:40
26,53.899527,-1.991525,2.41,2013/12/09,18:15:43
27,53.899593,-1.991531,2.45,2013/12/09,18:15:46
28,53.899666,-1.991546,2.73,2013/12/09,18:15:49
29,53.899739,-1.991560,2.73,2013/12/09,18:15:52
30,53.899788,-1.991570,2.75,2013/12/09,18:15:54
31,53.899856,-1.991577,2.53,2013/12/09,18:15:57
32,53.899923,-1.991584,2.49,2013/12/09,18:16:00
33,53.899968,-1.991589,2.51,2013/12/09,18:16:02
34,53.900036,-1.991608,2.56,2013/12/09,18:16:05
